,PLR_ID,public_tra,eating,culture,community,health_car,public_ser,education,outdoor_fa,outdoor_le,night_life,water,mig_rate,ave_rent,social_hou,public_hou,five_y_pls,rent_to_pr,dyn_r_to_p,sales,dyn_sales,unemployme,welfare,child_pov,dyn_unempl,dyn_welfar,dyn_child,B_1940,B_1941_199,B_1991_201,vegpm20,other_sch,vocat_sch,primary_sc,Gymnasium,secon_sch,priv_schoo,sp_nee_sch,kita,stations,HK_EU15,HK_EU28,HK_Polen,HK_EheJug,HK_EheSU,HK_Turk,HK_Arab,HK_Sonst,HK_NZOrd,Cluster,Clusters,PLR_NAME,BZR_NAME,Bezirk
25,7100204,132,236,3,5,74,34,7,137,2,60,9,40.07,11.21,12.73,18.83,66.09,1.14,70.37,0.66,48.98,3.23,8.2,15.59,0.9,-0.35,0.45,53.61,44.58,1.82,3.39,0,0,6,0,3,4,0,41,7,22.93,37.85,7.14,4.08,5.96,14.77,6.37,24.83,6.15,2,"average social index, average migration rate",Barbarossaplatz,Schöneberg Nordost,Tempelhof-Schöneberg
26,5200420,155,11,0,1,12,14,0,44,19,6,0,31.17,8.82,10.44,19.86,67.09,0.32,15.61,0.32,29.08,3.2,6.96,17.76,0.05,-1.08,-1.58,20.18,61.77,18.04,1.69,0,0,5,0,2,1,1,22,0,8.27,32.94,13.22,6.89,10.73,12.84,13.06,18.44,5.11,2,"average social index, average migration rate",Staakener Straße,Brunsbütteler Damm,Spandau
27,8100312,131,181,18,6,88,28,0,277,0,93,1,50.01,11.52,6.73,9.55,62.9,1.4,98.74,0.48,41.44,7.3,15.71,36.47,1.98,-1.58,-1.95,75.87,21.4,2.73,2.87,0,0,5,2,1,3,0,65,2,25.91,36.23,4.63,5.16,2.57,19.54,9.43,20.59,6.48,3,"somewhat low social index, average migration rate",Weichselplatz,Reuterstraße,Neukölln
28,10100103,68,6,1,1,8,12,0,129,3,8,0,27.52,7.21,1.03,35.26,70.54,0.2,12.64,0.06,3.41,6.32,18.07,36.86,0.84,-1.08,-2.25,0.0,94.58,5.42,2.14,0,0,5,0,4,0,0,14,5,2.74,17.69,6.51,3.85,45.42,1.49,7.19,23.1,1.27,3,"somewhat low social index, average migration rate",Wittenberger Straße,Marzahn Nord,Marzahn-Hellersdorf
29,3601451,63,59,2,3,51,24,4,190,8,18,6,30.24,10.49,0.63,15.44,61.3,1.29,84.7,0.69,66.05,3.89,7.08,9.82,0.87,-0.46,1.32,77.22,18.0,4.78,3.1,0,0,5,2,2,3,0,38,10,28.12,43.03,6.55,2.13,10.08,2.81,6.19,34.51,1.25,2,"average social index, average migration rate",Anton-Saefkow-Park,Prenzlauer Berg Ost,Pankow
30,6400736,117,12,1,0,4,14,0,57,3,3,1,21.07,11.45,2.47,2.07,69.69,0.86,22.75,0.47,21.34,1.51,4.34,6.46,0.48,0.0,0.54,9.13,80.66,10.2,11.5,0,0,3,1,0,1,0,9,1,15.92,27.48,8.03,3.23,7.73,6.38,13.59,37.46,4.13,0,"high social index, low migration rate",Düppel,Zehlendorf Südwest,Steglitz-Zehlendorf
31,1400937,144,34,3,4,34,24,1,175,5,39,1,50.33,9.6,5.89,15.26,61.67,1.04,68.92,0.53,43.51,8.07,17.39,42.9,1.93,-2.28,-5.29,79.94,19.28,0.78,5.79,0,0,2,1,1,0,0,38,4,12.65,32.78,8.85,6.46,4.06,20.87,11.59,17.52,6.7,3,"somewhat low social index, average migration rate",Afrikanische Straße,Parkviertel,Mitte
32,7601339,45,8,2,0,3,10,0,8,3,1,0,39.86,8.1,12.72,26.73,71.06,0.2,4.41,0.17,11.04,8.05,17.76,41.02,2.32,-0.67,-1.56,7.37,87.39,5.24,3.6,0,0,1,0,1,1,0,11,0,3.97,33.02,21.74,4.77,26.08,11.71,8.83,10.33,5.24,3,"somewhat low social index, average migration rate",Tirschenreuther Ring West,Marienfelde Süd,Tempelhof-Schöneberg
33,6300632,152,14,1,1,8,28,0,19,8,1,2,29.07,10.84,3.52,2.48,68.34,0.67,30.73,0.54,44.53,2.35,2.95,4.24,0.71,-0.66,-1.83,18.49,38.66,42.85,3.14,0,0,2,1,0,1,0,20,0,14.47,32.25,9.91,2.96,9.05,5.99,8.98,34.35,6.42,0,"high social index, low migration rate",Schweizer Viertel,Drakestraße,Steglitz-Zehlendorf
34,7601545,64,7,0,0,23,9,0,27,1,3,1,40.24,8.34,9.91,15.31,70.22,0.54,9.61,0.31,22.89,9.38,24.72,57.59,1.39,-1.56,-1.61,9.37,81.95,8.67,2.98,0,0,2,2,1,0,0,16,0,5.81,27.51,15.98,7.9,13.21,8.76,30.31,8.87,3.45,1,"very low social index, very high migration rate",Nahariyastraße,Lichtenrade Süd,Tempelhof-Schöneberg
35,5100103,54,8,0,4,5,7,0,56,38,3,0,36.44,7.99,5.95,12.59,63.56,0.7,14.0,0.4,33.4,6.5,14.9,32.89,0.62,-2.53,-7.01,30.05,58.23,11.72,2.21,0,0,0,0,0,0,0,9,0,6.25,32.2,13.71,9.56,10.16,14.01,11.21,17.19,5.66,3,"somewhat low social index, average migration rate",Mertensstraße,Hakenfelde,Spandau
36,8100314,105,189,20,8,100,29,0,279,1,99,1,61.15,11.52,6.73,9.55,62.9,1.41,98.75,0.49,41.44,8.91,19.98,52.22,2.67,-3.2,-3.72,88.85,9.46,1.69,2.12,0,0,4,2,1,4,0,60,2,18.52,31.33,3.99,9.41,1.87,20.16,13.62,16.5,7.12,1,"very low social index, very high migration rate",Donaustraße,Reuterstraße,Neukölln
37,5200526,34,6,0,1,6,5,0,49,7,0,0,49.42,8.82,10.45,19.87,67.09,0.32,15.61,0.32,29.07,12.77,32.98,67.37,0.35,-3.9,-7.26,2.53,94.95,2.52,3.83,0,0,1,0,0,1,0,7,0,3.93,29.77,15.88,5.44,11.47,9.58,17.25,22.69,3.8,1,"very low social index, very high migration rate",Rudolf-Wissell-Großsiedlung,Heerstraße,Spandau
38,4500938,113,134,4,1,83,35,4,53,6,32,7,44.16,13.06,4.73,6.81,64.8,1.88,98.32,1.05,71.96,3.5,7.46,16.88,0.85,-0.41,-1.46,61.69,36.89,1.42,2.26,0,0,2,1,2,2,0,28,4,18.64,35.89,8.92,4.3,14.08,5.08,7.34,28.65,4.67,2,"average social index, average migration rate",Hochmeisterplatz,Halensee,Charlottenburg-Wilmersdorf
39,7400826,124,18,0,5,16,15,0,91,7,7,2,28.03,10.47,2.77,12.68,66.78,1.18,33.69,0.55,39.09,3.49,10.42,22.2,0.3,-0.47,-1.41,63.53,34.95,1.52,3.64,0,0,3,0,1,1,0,20,4,11.75,32.12,12.68,6.69,6.2,21.51,10.04,14.46,8.97,2,"average social index, average migration rate",Marienhöhe,Tempelhof Südwest,Tempelhof-Schöneberg
40,9501939,118,43,1,4,25,22,1,156,9,16,0,15.62,10.57,0.95,15.23,67.18,0.3,24.15,0.22,22.63,3.77,6.18,11.59,0.99,-0.93,0.04,64.07,6.4,29.53,5.76,0,0,1,1,1,2,0,26,20,14.44,39.87,10.61,2.88,19.18,2.22,11.04,23.14,1.68,0,"high social index, low migration rate",Bahnhofstraße,Dammvorstadt,Treptow-Köpenick
41,6100208,146,104,3,2,138,29,4,128,3,20,5,31.47,10.8,2.0,1.39,67.92,0.99,55.24,0.98,60.48,3.11,6.33,9.97,0.38,-1.03,-1.87,42.72,54.09,3.19,3.64,0,1,3,2,1,2,0,24,4,14.65,32.61,10.03,5.78,11.24,11.24,7.0,26.31,5.83,2,"average social index, average migration rate",Bergstraße,Albrechtstraße,Steglitz-Zehlendorf
42,3200206,95,19,3,0,22,11,0,80,7,6,2,17.45,10.76,3.2,3.55,68.98,0.67,30.18,0.26,22.16,2.44,5.25,7.03,0.01,0.32,-0.56,49.68,20.84,29.49,3.51,0,1,2,1,0,2,0,35,9,18.63,41.77,11.74,1.9,11.02,3.38,6.73,32.95,2.24,0,"high social index, low migration rate",Pastor-Niemöller-Platz,Blankenfelde/Niederschönhausen,Pankow
43,3601452,66,38,1,2,34,25,3,129,18,11,1,32.17,10.49,0.63,15.44,61.3,1.29,84.73,0.69,66.05,5.47,10.68,24.95,1.09,-0.48,-2.34,51.59,45.38,3.03,1.5,0,0,3,1,1,1,0,27,12,22.63,37.11,6.41,2.41,11.23,2.33,6.82,37.35,2.75,2,"average social index, average migration rate",Velodrom,Prenzlauer Berg Ost,Pankow
44,11200513,63,22,1,3,11,12,0,68,12,10,2,26.83,8.91,2.76,35.97,64.35,0.05,11.54,0.18,10.59,5.33,12.2,31.75,0.58,-1.36,-2.96,58.74,26.16,15.1,3.37,0,0,4,1,2,0,0,19,14,5.3,23.04,6.01,9.3,15.87,1.67,23.07,25.59,1.46,2,"average social index, average migration rate",Große-Leege-Straße,Alt-Hohenschönhausen Süd,Lichtenberg
45,5100104,52,10,0,3,7,7,0,76,40,4,0,30.64,7.99,5.95,12.59,63.56,0.7,14.0,0.4,33.4,5.74,12.88,29.78,2.21,-1.08,-2.18,37.2,18.56,44.24,1.52,0,0,0,0,0,0,0,9,0,7.09,26.98,13.71,6.13,9.59,15.07,17.91,17.15,7.17,3,"somewhat low social index, average migration rate",Maselake,Hakenfelde,Spandau
46,12601235,103,8,0,3,4,9,0,43,7,1,0,57.78,7.59,1.56,41.93,69.85,0.07,11.2,0.24,15.97,9.55,27.41,52.52,1.77,-2.18,-3.95,5.78,87.46,6.77,4.09,0,0,4,1,0,1,0,21,1,5.87,21.13,11.18,5.79,12.68,22.96,16.74,13.84,6.86,1,"very low social index, very high migration rate",Dannenwalder Weg,MV Süd,Reinickendorf
47,3400725,122,21,1,0,23,21,1,98,11,2,2,17.64,10.51,1.65,20.23,66.11,1.64,45.51,0.45,29.45,3.47,6.79,15.34,0.89,-0.47,2.05,24.32,48.93,26.75,3.8,0,0,2,1,1,2,2,33,14,22.08,42.9,10.19,3.33,12.28,3.61,7.66,27.59,2.63,0,"high social index, low migration rate",Schlosspark,Pankow Zentrum,Pankow
48,4300416,113,270,12,3,76,37,2,203,3,54,6,41.95,13.07,4.71,6.8,64.77,1.89,98.67,1.06,72.07,3.42,6.98,16.08,1.16,-0.54,-1.74,79.3,16.05,4.65,2.79,0,1,3,0,2,2,0,43,5,25.0,40.78,7.28,5.4,9.74,5.7,7.32,28.36,2.7,2,"average social index, average migration rate",Amtsgerichtsplatz,Schloss Charlottenburg,Charlottenburg-Wilmersdorf
49,4501148,88,65,2,1,71,21,2,96,3,11,1,44.9,12.9,3.15,3.94,65.67,2.75,101.72,1.02,70.37,4.21,9.99,24.05,0.82,0.18,0.46,57.94,32.17,9.9,3.14,0,0,2,3,0,0,1,30,3,15.46,35.14,7.14,4.86,12.14,7.98,10.01,23.0,6.89,2,"average social index, average migration rate",Brabanter Platz,Volkspark Wilmersdorf,Charlottenburg-Wilmersdorf
50,8401244,126,15,0,0,23,17,0,154,5,4,0,24.85,7.9,18.57,9.78,73.56,0.03,12.5,0.2,10.65,2.34,4.27,11.1,0.61,-0.32,1.03,17.08,62.64,20.28,2.17,0,0,4,1,1,0,0,11,1,5.82,24.69,14.78,6.29,4.39,26.65,12.17,13.77,12.05,0,"high social index, low migration rate",Waßmannsdorfer Chaussee,Rudow,Neukölln
51,9301024,70,8,0,3,9,12,0,77,0,0,0,14.05,11.56,8.94,23.25,67.94,0.1,4.04,0.1,4.44,1.21,2.61,3.4,0.42,-0.25,-0.21,30.96,22.08,46.96,2.58,0,0,1,0,1,0,0,4,3,8.3,35.26,14.86,6.2,20.91,8.85,8.52,17.26,2.99,0,"high social index, low migration rate",Falkenberg,Bohnsdorf,Treptow-Köpenick
52,6400843,156,51,1,1,19,22,0,151,2,4,3,30.62,11.45,2.47,2.07,69.69,0.86,22.74,0.47,21.32,0.7,1.41,0.91,0.34,0.13,-0.62,65.05,28.32,6.64,3.79,0,0,4,0,1,1,1,13,4,22.99,32.42,5.1,1.21,11.72,4.08,3.31,45.28,1.97,0,"high social index, low migration rate",Thielallee,Zehlendorf Nord,Steglitz-Zehlendorf
53,12200412,175,40,2,0,21,26,0,71,11,14,1,33.63,8.25,4.12,17.57,65.06,0.55,22.88,0.48,39.85,2.58,7.18,17.9,-0.1,-0.15,-1.5,47.44,36.54,16.02,5.85,0,0,5,0,2,3,0,12,6,9.9,29.32,8.96,7.62,5.89,16.66,12.69,17.79,10.04,2,"average social index, average migration rate",Waldidyll/Flughafensee,West 1 - Tegel-Süd/Flughafensee,Reinickendorf
54,12200515,114,50,4,3,24,16,0,149,10,15,3,24.25,8.25,4.12,17.6,65.07,0.55,22.87,0.48,39.82,3.22,6.84,18.37,0.6,-0.58,-0.99,53.93,35.0,11.07,2.45,0,0,3,1,2,3,0,14,3,13.69,38.6,12.32,6.12,7.05,13.13,10.34,17.68,7.08,0,"high social index, low migration rate",Alt-Tegel,West 5 - Tegel,Reinickendorf
55,7501135,72,11,0,0,9,10,0,3,4,5,0,23.97,8.3,8.05,10.11,68.32,0.91,24.87,0.39,37.17,2.28,4.16,10.48,1.12,-0.08,-1.83,20.4,68.87,10.74,2.17,0,0,1,0,0,0,0,8,0,10.75,36.9,15.05,8.78,4.84,18.28,10.94,10.94,9.32,0,"high social index, low migration rate",Birnhornweg,Mariendorf Süd,Tempelhof-Schöneberg
56,8200725,91,13,0,1,2,11,0,90,2,7,1,38.75,8.67,10.47,15.16,70.38,0.75,28.97,0.35,17.99,4.62,6.35,14.42,2.51,0.37,-0.08,24.57,48.55,26.88,2.04,0,0,2,0,1,0,0,8,0,9.46,28.23,11.35,5.2,2.83,27.19,13.27,10.85,12.43,2,"average social index, average migration rate",Mohriner Allee Nord,Britz,Neukölln
57,3701658,27,191,8,6,55,25,5,148,8,49,5,33.6,11.26,0.39,12.77,61.17,2.93,88.38,0.88,59.9,2.76,4.85,6.54,0.75,0.07,1.02,85.85,7.76,6.39,1.53,0,0,7,1,1,5,0,50,9,35.39,47.76,5.22,1.27,8.18,2.69,4.43,34.41,1.26,0,"high social index, low migration rate",Christburger Straße,Prenzlauer Berg Süd,Pankow
58,5100312,54,10,0,1,11,6,0,89,4,8,0,41.02,7.99,5.95,12.59,63.56,0.7,14.0,0.4,33.4,7.06,17.39,39.19,0.91,-3.07,-5.31,27.62,65.17,7.21,2.63,0,0,4,0,1,0,1,9,0,5.52,31.64,12.87,9.64,8.18,16.05,11.99,17.5,5.01,3,"somewhat low social index, average migration rate",Eckschanze,Spandau Mitte,Spandau
59,3601449,66,35,3,3,30,22,1,255,6,12,4,19.42,10.49,0.63,15.44,61.3,1.29,84.69,0.69,66.04,7.2,10.57,35.38,1.93,-0.85,-1.73,19.45,79.41,1.14,4.25,0,2,3,1,1,5,0,26,6,11.74,30.16,9.39,2.57,12.7,4.86,9.22,38.64,1.84,3,"somewhat low social index, average migration rate",Michelangelostraße,Prenzlauer Berg Ost,Pankow
60,4501151,104,79,4,1,102,24,0,117,2,17,1,33.39,12.9,3.14,3.93,65.66,2.76,101.87,1.02,70.4,2.64,5.84,9.65,0.45,0.11,-0.63,84.23,15.41,0.36,3.0,0,2,3,3,2,0,1,44,3,21.78,41.79,8.82,2.95,6.98,4.79,7.75,31.32,4.41,2,"average social index, average migration rate",Hildegardstraße,Volkspark Wilmersdorf,Charlottenburg-Wilmersdorf
61,11400928,95,17,1,4,13,12,0,343,25,9,0,24.81,9.49,2.03,31.0,61.24,0.82,38.59,0.22,20.81,3.16,6.44,12.64,1.54,-1.53,1.92,36.3,28.37,35.34,2.37,0,2,2,1,0,0,0,19,9,14.14,35.62,9.15,5.51,15.91,3.12,8.73,29.08,2.04,0,"high social index, low migration rate",Nöldnerplatz,Neu-Lichtenberg,Lichtenberg
62,12200411,69,13,0,1,22,9,0,21,0,19,0,53.03,8.25,4.12,17.57,65.05,0.55,22.95,0.48,39.86,6.73,15.01,37.04,-0.22,0.53,-5.19,32.45,62.03,5.52,2.95,0,0,0,0,0,0,0,14,2,6.84,32.68,8.85,8.23,5.9,16.74,15.36,13.68,7.41,3,"somewhat low social index, average migration rate",Schumacher-Quartier,West 1 - Tegel-Süd/Flughafensee,Reinickendorf
63,5300840,173,26,1,4,16,16,0,72,15,8,3,49.38,8.33,10.41,30.66,65.92,0.29,4.39,0.4,34.27,4.5,10.29,32.08,1.69,-4.36,-23.69,21.73,78.27,0.0,2.87,0,1,0,0,1,2,0,14,6,11.4,33.85,8.95,3.83,3.87,28.7,8.13,10.23,11.4,2,"average social index, average migration rate",Nonnendammallee,Siemensstadt,Spandau
64,1300835,176,117,9,11,40,33,2,284,8,46,10,59.6,10.25,23.09,19.76,63.96,0.64,43.98,0.33,25.29,7.66,20.09,44.78,2.21,-1.94,-1.8,10.96,83.03,6.01,4.38,0,0,6,2,4,5,1,50,15,8.36,19.99,6.98,4.45,7.11,31.24,12.01,15.08,10.11,1,"very low social index, very high migration rate",Humboldthain Süd,Brunnenstraße Nord,Mitte
